,rank,title,total ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings
1640,15,Word search,644092,50000000,4,0.0,0.0,0.0,WORD,438288,122199,48502,10315,24785
1641,16,Wordfeud Free,619037,10000000,4,0.1,0.3,0.0,WORD,372307,186153,34938,8682,16954
1642,17,Draw Something Classic,594298,50000000,4,0.0,0.0,0.0,WORD,351126,133461,52620,18611,38479
1643,18,Word Search,512584,10000000,4,0.0,0.0,0.0,WORD,423301,51998,16672,5227,15383
1644,19,Word Link,501384,50000000,4,0.0,0.0,0.0,WORD,366058,57001,26960,10931,40431
1645,20,Words Story - Addictive Word Game,496119,50000000,3,0.1,0.2,0.0,WORD,272448,47916,39085,30303,106365
1646,21,"Braindom: Tricky Brain Teasers, Test, Riddle Games",487582,10000000,4,9.5,23.0,0.0,WORD,412226,28805,13965,6683,25900
1647,22,TTS Pintar 2021 - Teka Teki Silang Offline,476458,10000000,4,0.8,1.6,0.0,WORD,349671,71362,32006,8438,14979
1648,23,Word Streak-Words With Friends,469540,10000000,4,0.1,0.3,0.0,WORD,290381,116449,28401,11911,22396
1649,24,Word Search,455543,10000000,4,0.1,0.3,0.0,WORD,278658,96142,40301,11592,28847
1651,25,4 Bilder 1 Wort,447182,10000000,4,0.2,0.4,0.0,WORD,268217,99646,32509,13708,33099
1652,26,Word Academy,444744,5000000,4,0.1,0.3,0.0,WORD,278942,118805,37241,3989,5764
1653,27,Word Collect - Free Word Games,436327,10000000,4,3.1,7.2,0.0,WORD,395758,20443,5961,3503,10659
1654,28,Word Connect - Word Games Puzzle,427255,10000000,4,0.8,1.8,0.0,WORD,339689,43523,20765,6855,16421
1655,29,Pictoword: Fun Word Games & Offline Brain Game,414385,10000000,4,0.2,0.4,0.0,WORD,263839,60130,32687,15192,42536
1656,30,Word Search,390612,50000000,4,0.1,0.1,0.0,WORD,278658,96142,40301,11592,28847
1658,31,Wheel of Fortune: Free Play,390247,10000000,4,0.3,0.8,0.0,WORD,294829,41379,21513,10462,22062
1659,32,Word Crack,385276,10000000,3,0.3,0.6,0.0,WORD,177110,86666,32643,15452,73403
1660,33,4 Images 1 Mot,383907,10000000,4,0.5,1.1,0.0,WORD,235989,89750,31642,9154,17370
1661,34,4 фотки 1 слово,373807,10000000,4,0.2,0.4,0.0,WORD,278606,40890,19026,8084,27200
1662,35,Wordie: Guess the Word,362929,10000000,4,0.0,0.1,0.0,WORD,275235,47874,18870,5187,15761
1663,36,Words With Friends 2 - Board Games & Word Puzzles,362457,10000000,3,38.5,40.8,0.0,WORD,191463,65275,29507,22567,53642
1664,37,Ruzzle Free,356922,10000000,4,0.1,0.2,0.0,WORD,220533,74021,26076,9155,27135
1665,38,Kelimelik,354330,5000000,4,0.3,0.7,0.0,WORD,254242,54793,18181,5871,21241
1666,39,لعبة كلمة السر,327444,10000000,4,0.0,0.1,0.0,WORD,284875,15522,10304,3358,13383
1667,40,Найди слова,321011,10000000,4,0.1,0.3,0.0,WORD,259952,33889,10369,4149,12649
1668,41,Pro des Mots,316607,10000000,4,0.7,1.6,0.0,WORD,237255,54313,12947,3620,8468
1669,42,Word search puzzles game,313263,10000000,4,1.4,3.0,0.0,WORD,280133,16345,6318,2661,7803
1670,43,Garden of Words - Word game,304117,10000000,4,0.7,1.5,0.0,WORD,177133,67223,25574,10696,23488
1671,44,Word Crossy - A crossword game,293234,5000000,4,0.0,0.0,0.0,WORD,174650,58124,28261,10792,21405
1672,45,Word Search Sea: Unscramble words,290063,10000000,4,1.3,2.7,0.0,WORD,247415,22317,7612,3036,9680
1673,46,4 Immagini 1 Parola,287827,10000000,4,0.1,0.2,0.0,WORD,188715,59303,19724,5646,14436
1674,47,Words Crush: Hidden Words!,283889,5000000,4,0.0,0.0,0.0,WORD,194268,61126,18046,3469,6978
1675,48,Fill-The-Words - word search puzzle,277485,10000000,4,0.3,0.6,0.0,WORD,224023,28333,9358,4014,11754
1676,49,Palabras Cruz,264230,10000000,4,0.4,1.1,0.0,WORD,217546,20368,8725,4167,13422
1677,50,آمیرزا,248190,1000000,4,5.7,11.4,0.0,WORD,220987,10593,4765,2431,9412
1678,51,Word Stacks,245709,10000000,4,0.6,1.4,0.0,WORD,206426,17793,7608,4503,9376
1679,52,Word Search Quest - Free Word Puzzle Game,236235,10000000,4,4.2,8.8,0.0,WORD,186167,30988,8397,2702,7978
1680,53,Word Yard - Fun with Words,235887,1000000,4,0.4,0.9,0.0,WORD,185227,31473,10830,2645,5709
1681,54,Word Trip,232803,5000000,4,1.9,3.7,0.0,WORD,175261,35702,14082,3142,4614
1682,55,Word Cross,228204,10000000,4,0.2,0.5,0.0,WORD,181563,21290,9942,4038,11368
1683,56,Heads Up!,221349,10000000,3,0.1,0.3,0.0,WORD,113346,23864,14334,9889,59914
1684,57,Слова из Слова,218894,5000000,4,0.9,1.9,0.0,WORD,180588,21920,8357,2413,5614
1685,58,Wordington: Words & Design,218842,10000000,4,541.1,7.2,0.0,WORD,130283,43254,23231,8317,13755
1686,59,Wort Guru,214916,5000000,4,0.6,1.3,0.0,WORD,161430,31740,8811,3932,9000
1687,60,What Am I? – Family Charades (Guess The Word),214864,10000000,4,0.2,0.4,0.0,WORD,132364,28059,18579,9050,26810
1688,61,Aplasta Palabras：Juego de Palabras Gratis sin wifi,214313,10000000,4,17.1,5556.2,0.0,WORD,189623,16387,4835,935,2530
1689,62,Stop - Categories Word Game,210662,10000000,3,1646.0,2.7,0.0,WORD,84777,34401,27058,17819,46604
1690,63,Kelime Gezmece,191924,10000000,4,0.9,2.3,0.0,WORD,154792,16507,5190,2903,12529
1691,64,Immortal Taoists - Nieli has arrived,182995,1000000,4,1.9,3.3,0.0,WORD,129657,29055,10347,3745,10188
1692,65,Jalebi - A Desi Adda With Ludo Snakes & Ladders,182761,10000000,4,1.4,2.8,0.0,WORD,127393,20564,11388,5948,17466
1693,66,Word Find - Word Connect Free Offline Word Games,181110,10000000,4,2.6,5.7,0.0,WORD,142345,22175,8955,2286,5347
1694,67,Classic Words Solo,178241,10000000,4,0.6,1.2,0.0,WORD,117919,40925,10450,2802,6142
1695,68,Draw and Guess Online,170069,1000000,4,0.1,0.2,0.0,WORD,121027,17716,9108,5598,16616
1696,69,Words Crush: Hidden Themes!,169669,1000000,4,15.1,23.0,0.0,WORD,112145,39957,13125,1904,2536
1697,70,Crossword Jam,161543,5000000,4,0.0,0.1,0.0,WORD,131821,16783,6607,2394,3934
1698,71,Word Search,161284,10000000,4,1.0,2.2,0.0,WORD,106127,23103,11207,5583,15262
1700,72,2 Pictures 1 Word,160717,5000000,4,0.1,0.2,0.0,WORD,130759,11569,5899,3304,9183
1701,73,Word Crack Mix 2,159344,5000000,4,0.0,0.0,0.0,WORD,81269,41668,14268,5012,17124
1702,74,Word Domination,157519,5000000,4,0.9,1.4,0.0,WORD,95422,29899,11554,6611,14031
1703,75,Word Crush,157049,1000000,4,3.6,8.3,0.0,WORD,115329,28558,7955,1715,3489
1704,76,اشبكها - لعبة تسلية وتفكير,153454,1000000,4,0.6,1.3,0.0,WORD,129103,9202,6664,2607,5875
1705,77,Szó Piknik - Word Snack,153087,5000000,4,0.2,0.5,0.0,WORD,120977,15730,6931,2476,6971
1706,78,كلمات متقاطعة من زيتونة - رشفة وصلة,151046,1000000,4,0.1,0.2,0.0,WORD,124092,10387,7555,2178,6832
1707,79,Word Surf - Word Game,150279,5000000,4,3.3,5.9,0.0,WORD,121012,19182,3828,1578,4677
1708,80,Word Search,149858,10000000,4,0.0,0.1,0.0,WORD,106127,23103,11207,5583,15262
1710,81,WordWhizzle Search,149553,1000000,4,0.0,0.1,0.0,WORD,108634,29499,8257,1406,1755
1711,82,Evil Apples: You Against Humanity!,149422,5000000,4,0.2,0.5,0.0,WORD,88307,24693,12946,6798,16675
1712,83,Word Chums,146848,1000000,4,0.2,0.3,0.0,WORD,115040,22564,3627,1508,4107
1713,84,Word Trek - Word Brain streak - hand made puzzles,143930,5000000,4,0.0,0.0,0.0,WORD,94662,31667,11131,2545,3923
1714,85,Teka Teki Silang,136542,5000000,4,0.0,0.0,0.0,WORD,82242,30159,18219,2815,3104
1715,86,7 Little Words: A fun twist on crossword puzzles,130077,1000000,4,0.1,0.1,0.0,WORD,107379,11378,3489,2769,5059
1716,87,Charades!,129132,10000000,4,0.1,0.2,0.0,WORD,87481,19612,7874,3114,11048
1717,88,Escape Room: Mystery Word,127293,10000000,4,0.0,0.0,0.0,WORD,88424,9776,7448,5279,16363
1718,89,Word Swipe,127030,10000000,4,0.3,0.8,0.0,WORD,107638,9411,3632,1626,4720
1719,90,Wordalot - Picture Crossword,126774,5000000,4,0.0,0.1,0.0,WORD,91833,23213,6258,1839,3628
1720,91,Zgadnij co to?,124219,1000000,4,0.0,0.0,0.0,WORD,94486,19855,5828,1249,2799
1721,92,Piknik Słowo - Word Snack,123095,1000000,4,0.1,0.2,0.0,WORD,97069,17257,5147,1266,2354
1722,93,Word Life - Connect crosswords puzzle,121222,10000000,4,4.6,10.4,0.0,WORD,74343,25022,11196,3811,6848
1723,94,Wordox – Free multiplayer word game,120533,1000000,4,0.0,0.0,0.0,WORD,74096,21404,10592,4736,9702
1724,95,4 Fotos 1 Palavra,115437,5000000,4,0.2,0.5,0.0,WORD,85169,16622,6802,1848,4994
1725,96,زوايا - لعبة ستحرك زوايا عقلك,112408,1000000,4,0.9,1.8,0.0,WORD,101036,3607,3237,1229,3297
1726,97,Bible Word Puzzle - Free Bible Word Games,111595,1000000,4,0.9,2.3,0.0,WORD,88950,14856,4297,1385,2103
1727,98,Scrabble® GO - New Word Game,110723,10000000,4,0.9,1.9,0.0,WORD,64184,18332,9385,6688,12132
1728,99,Word Nut: Word Puzzle Games & Crosswords,109530,5000000,4,1.9,4.1,0.0,WORD,99987,4766,1469,953,2353
1729,100,Pinturillo 2,108917,10000000,3,1.1,2.5,0.0,WORD,50813,16480,11825,6166,23631
